freguesia,n_atms,attack_rate,mean_risk,mean_access,mean_choquet
São Domingos de Benfica,2,0.5,0.906,0.719,0.869
Carnide,54,0.444,0.702,0.745,0.7
Lumiar,62,0.306,0.676,0.781,0.691
Olivais,29,0.103,0.641,0.83,0.678
Campolide,33,0.242,0.611,0.773,0.64
Alcântara,22,0.0,0.63,0.716,0.633
Benfica,21,0.286,0.665,0.597,0.632
Belém,23,0.087,0.579,0.812,0.626
Alvalade,45,0.089,0.607,0.693,0.619
Parque das Nações,49,0.02,0.544,0.788,0.599
Marvila,27,0.0,0.527,0.816,0.599
Campo de Ourique,35,0.057,0.591,0.636,0.587
Avenidas Novas,125,0.128,0.527,0.752,0.572
Estrela,11,0.0,0.503,0.797,0.566
Santo António,46,0.022,0.435,0.797,0.514
Areeiro,8,0.0,0.413,0.706,0.481
Misericórdia,15,0.0,0.362,0.826,0.47
Arroios,66,0.0,0.323,0.761,0.426
São Vicente,6,0.0,0.243,0.82,0.405
Penha de França,7,0.0,0.264,0.627,0.357
Santa Maria Maior,60,0.017,0.27,0.602,0.347
